Minamata | https://www.imdb.com/title/tt9179096
Conan the Barbarian | https://www.imdb.com/title/tt0082198/
48 Hrs. | https://www.imdb.com/title/tt0083511/
Blue Ruin | https://www.imdb.com/title/tt2359024
Old Henry | https://www.imdb.com/title/tt12731980/
The Guilty | https://www.imdb.com/title/tt6742252
Marshland | https://www.imdb.com/title/tt3253930
Dark Star | https://www.imdb.com/title/tt0069945/
Upstream Color | https://www.imdb.com/title/tt2084989/
Donnie Darko | https://www.imdb.com/title/tt0246578/
Requiem for a Dream | https://www.imdb.com/title/tt0180093/
Hot Rod | https://www.imdb.com/title/tt0787475/
Zodiac | https://www.imdb.com/title/tt0443706/
Best in Show | https://www.imdb.com/title/tt0218839/
Jumanji | https://www.imdb.com/title/tt0113497/
The Unvanquished (Aparajito) | https://www.imdb.com/title/tt0048956
The Hero (Nayak) | https://www.imdb.com/title/tt0060742/
Colossus: The Forbin Project | https://www.imdb.com/title/tt0064177
Get Out | https://www.imdb.com/title/tt5052448
Portrait of a Lady on Fire | https://www.imdb.com/title/tt8613070
Before Sunset | https://www.imdb.com/title/tt0381681
Spider-Man: Into the Spider-Verse | https://www.imdb.com/title/tt4633694
Lady Bird | https://www.imdb.com/title/tt4925292
Little Miss Sunshine | https://www.imdb.com/title/tt0449059
WALL·E | https://www.imdb.com/title/tt0910970
Phantom Thread | https://www.imdb.com/title/tt5776858
Everything Everywhere All at Once | https://www.imdb.com/title/tt6710474
Spirited Away | https://www.imdb.com/title/tt0245429
The People vs. Larry Flynt | https://www.imdb.com/title/tt0117318/
All the President's Men | https://www.imdb.com/title/tt0074119/
The Warriors | https://www.imdb.com/title/tt0080120
Bodyguard Kiba | https://www.imdb.com/title/tt0164699/
The Princess Bride | https://www.imdb.com/title/tt0093779/
Repo Man | https://www.imdb.com/title/tt0087995/
Moonlight | https://www.imdb.com/title/tt4975722
Big Trouble in Little China | https://www.imdb.com/title/tt0090728/
Vitus | https://www.imdb.com/title/tt0478829/
Pink Floyd The Wall | https://www.imdb.com/title/tt0084503/
The Sword of Doom | https://www.imdb.com/title/tt0060277/
Charlie Is My Darling | https://www.imdb.com/title/tt0060231/
Let's Get Lost | https://www.imdb.com/title/tt0095515
The Fifth Element | https://www.imdb.com/title/tt0119116/
A real pain | https://www.imdb.com/title/tt21823606/
Queer | https://www.imdb.com/title/tt24176060/
Civil war | https://www.imdb.com/title/tt17279496/
Poor things | https://www.imdb.com/title/tt14230458/
Evil Does Not Exist | https://www.imdb.com/title/tt28490044/
The Brutalist | https://www.imdb.com/title/tt8999762/
Kind of Kindness | https://www.imdb.com/title/tt22408160/
La Chimera | https://www.imdb.com/title/tt14561712/
Jo Jo Rabbit | https://www.imdb.com/title/tt2584384/
Ferris Bueller's Day Off | https://www.imdb.com/title/tt0091042/
Sometimes I think about dying | https://www.imdb.com/title/tt16431966/
The day earth stood still | https://www.imdb.com/title/tt0043456/
The Skin I Live In | https://www.imdb.com/title/tt1189073
Volver | https://www.imdb.com/title/tt0441909/
Bad Education | https://www.imdb.com/title/tt0275491/
Enter the Dragon | https://www.imdb.com/title/tt0070034/
Women on the Verge of a Nervous Breakdown | https://www.imdb.com/title/tt0095675/
The Silence of the Lambs | https://www.imdb.com/title/tt0102926/
The Bridge on the River Kwai | https://www.imdb.com/title/tt0050212/
Live Flesh | https://www.imdb.com/title/tt0118819/
After Yang | https://www.imdb.com/title/tt8633464/
The Northman | https://www.imdb.com/title/tt11138512/
Inherent Vice | https://www.imdb.com/title/tt1791528/
Return to Seoul | https://www.imdb.com/title/tt19719836/
Total Recall | https://www.imdb.com/title/tt0100802/
Roma | https://www.imdb.com/title/tt6155172/
Days of Being Wild | https://www.imdb.com/title/tt0101258/
The Zone of Interest | https://www.imdb.com/title/tt7160372/
12 Angry Men | https://www.imdb.com/title/tt0050083/
American Made | https://www.imdb.com/title/tt3532216/
Plan 75 | https://www.imdb.com/title/tt19719904/
Scarface | https://www.imdb.com/title/tt0086250/
